,No. ,Symbol ,Company Name ,Market Cap  ,Stock Price ,% Change ,Revenue 
0,1,AAPL,Apple Inc.,"3,027.15B",192.46,-0.78%,385.10B
1,2,MSFT,Microsoft Corporation,"2,513.12B",337.99,-0.75%,207.59B
2,3,GOOGL,Alphabet Inc.,"1,526.83B",119.90,0.17%,284.61B
3,4,AMZN,"Amazon.com, Inc.","1,336.11B",130.22,-0.07%,524.90B
4,5,NVDA,NVIDIA Corporation,"1,047.60B",424.13,0.26%,25.88B
5,6,TSLA,"Tesla, Inc.",886.89B,279.82,6.90%,86.04B
6,7,META,"Meta Platforms, Inc.",732.99B,286.02,-0.33%,117.35B
7,8,AVGO,Broadcom Inc.,361.69B,876.44,1.04%,35.04B
8,9,ASML,ASML Holding N.V.,289.58B,733.88,1.26%,26.51B
9,10,PEP,"PepsiCo, Inc.",255.70B,185.60,0.21%,88.04B
10,11,COST,Costco Wholesale Corporation,239.76B,541.04,0.49%,235.44B
11,12,ADBE,Adobe Inc.,222.57B,485.21,-0.77%,18.43B
12,13,CSCO,"Cisco Systems, Inc.",211.17B,51.82,0.15%,54.90B
13,14,AZN,AstraZeneca PLC,202.26B,65.25,-8.83%,43.84B
14,15,NFLX,"Netflix, Inc.",196.24B,441.44,0.22%,31.91B
15,16,AMD,"Advanced Micro Devices, Inc.",186.51B,115.82,1.68%,23.07B
16,17,CMCSA,Comcast Corporation,173.70B,41.76,1.92%,120.11B
17,18,TMUS,"T-Mobile US, Inc.",167.18B,139.33,0.31%,79.08B
18,19,TXN,Texas Instruments Incorporated,163.16B,179.76,-0.14%,19.50B
19,20,INTC,Intel Corporation,140.23B,33.62,0.54%,56.42B
20,21,HON,Honeywell International Inc.,138.66B,208.30,0.39%,35.95B
21,22,SNY,Sanofi,134.09B,53.63,-0.50%,48.29B
22,23,QCOM,QUALCOMM Incorporated,133.78B,120.09,0.88%,41.07B
23,24,INTU,Intuit Inc.,126.47B,451.57,-1.44%,14.07B
24,25,AMAT,"Applied Materials, Inc.",122.16B,145.47,0.64%,26.64B
25,26,AMGN,Amgen Inc.,120.23B,225.01,1.35%,26.19B
26,27,ISRG,"Intuitive Surgical, Inc.",117.74B,336.03,-1.73%,6.43B
27,28,SBUX,Starbucks Corporation,113.67B,99.15,0.09%,34.00B
28,29,BKNG,Booking Holdings Inc.,100.49B,"2,720.79",0.76%,18.17B
29,30,MDLZ,"Mondelez International, Inc.",100.11B,73.51,0.78%,32.90B
30,31,ADI,"Analog Devices, Inc.",97.44B,194.33,-0.25%,12.87B
31,32,GILD,"Gilead Sciences, Inc.",95.69B,76.72,-0.46%,27.04B
32,33,PDD,PDD Holdings Inc.,94.72B,71.29,3.11%,21.02B
33,34,ADP,"Automatic Data Processing, Inc.",90.36B,218.73,-0.48%,17.66B
34,35,VRTX,Vertex Pharmaceuticals Incorporated,89.52B,347.57,-1.23%,9.21B
35,36,LRCX,Lam Research Corporation,87.45B,650.99,1.26%,18.86B
36,37,ABNB,"Airbnb, Inc.",83.41B,132.35,3.27%,8.71B
37,38,PANW,"Palo Alto Networks, Inc.",77.88B,254.64,-0.34%,6.49B
38,39,REGN,"Regeneron Pharmaceuticals, Inc.",77.48B,718.09,-0.06%,12.37B
39,40,PYPL,"PayPal Holdings, Inc.",75.98B,68.10,2.05%,28.08B
40,41,EQIX,"Equinix, Inc.",73.26B,783.36,-0.07%,7.53B
41,42,MU,"Micron Technology, Inc.",69.93B,63.90,1.25%,18.17B
42,43,CSX,CSX Corporation,69.81B,34.34,0.70%,15.15B
43,44,CME,CME Group Inc.,66.96B,186.16,0.47%,5.11B
44,45,KLAC,KLA Corporation,66.52B,484.82,-0.04%,10.63B
45,46,SNPS,"Synopsys, Inc.",66.04B,434.01,-0.32%,5.29B
46,47,ATVI,"Activision Blizzard, Inc.",65.52B,83.34,-1.14%,8.14B
47,48,CDNS,"Cadence Design Systems, Inc.",64.19B,235.40,0.38%,3.68B
48,49,NTES,"NetEase, Inc.",64.05B,99.31,2.71%,14.26B
49,50,MELI,"MercadoLibre, Inc.",59.94B,"1,193.75",0.77%,11.33B
50,51,MNST,Monster Beverage Corporation,59.61B,56.95,-0.85%,6.49B
51,52,FTNT,"Fortinet, Inc.",58.62B,74.66,-1.23%,4.72B
52,53,WDAY,"Workday, Inc.",58.62B,224.59,-0.58%,6.47B
53,54,ORLY,"O'Reilly Automotive, Inc.",57.66B,947.08,-0.86%,14.82B
54,55,MAR,"Marriott International, Inc.",55.89B,184.23,0.29%,22.19B
55,56,CHTR,"Charter Communications, Inc.",55.44B,368.20,0.23%,54.48B
56,57,JD,"JD.com, Inc.",55.06B,35.15,2.99%,152.77B
57,58,NXPI,NXP Semiconductors N.V.,53.80B,207.13,1.20%,13.19B
58,59,MRVL,"Marvell Technology, Inc.",52.76B,61.35,2.63%,5.79B
59,60,BIDU,"Baidu, Inc.",50.11B,143.33,4.69%,18.40B
60,61,CTAS,Cintas Corporation,49.57B,487.43,-1.94%,8.61B
61,62,MCHP,Microchip Technology Incorporated,49.46B,90.69,1.23%,8.44B
62,63,DXCM,"DexCom, Inc.",49.24B,127.02,-1.16%,3.02B
63,64,LULU,Lululemon Athletica Inc.,48.21B,379.41,0.24%,8.50B
64,65,MRNA,"Moderna, Inc.",46.40B,121.73,0.19%,15.06B
65,66,KDP,Keurig Dr Pepper Inc.,44.18B,31.47,0.64%,14.33B
66,67,KHC,The Kraft Heinz Company,43.95B,35.81,0.87%,26.93B
67,68,AEP,"American Electric Power Company, Inc.",43.92B,85.32,1.33%,19.74B
68,69,PCAR,PACCAR Inc,43.71B,83.64,-0.01%,30.82B
69,70,ADSK,"Autodesk, Inc.",43.54B,203.70,-0.44%,5.10B
70,71,CPRT,"Copart, Inc.",43.09B,90.25,-1.05%,3.76B
71,72,TEAM,Atlassian Corporation Plc,43.07B,167.59,-0.13%,3.36B
72,73,ON,ON Semiconductor Corporation,41.82B,96.83,2.38%,8.34B
73,74,BIIB,Biogen Inc.,41.32B,285.44,0.21%,10.10B
74,75,EXC,Exelon Corporation,40.83B,41.05,0.76%,19.31B
75,76,IDXX,"IDEXX Laboratories, Inc.",40.64B,490.18,-2.40%,3.43B
76,77,ODFL,"Old Dominion Freight Line, Inc.",40.34B,367.87,-0.51%,6.20B
77,78,PAYX,"Paychex, Inc.",40.18B,111.47,-0.36%,5.01B
78,79,TTD,"The Trade Desk, Inc.",37.86B,77.45,0.30%,1.65B
79,80,ROST,"Ross Stores, Inc.",37.86B,111.13,-0.89%,18.86B
80,81,GEHC,GE HealthCare Technologies Inc.,36.69B,80.69,-0.68%,-
81,82,SGEN,Seagen Inc.,36.46B,194.43,1.02%,2.06B
82,83,CSGP,"CoStar Group, Inc.",35.75B,87.51,-1.67%,2.25B
83,84,GFS,GLOBALFOUNDRIES Inc.,35.74B,64.74,0.25%,8.01B
84,85,EA,Electronic Arts Inc.,35.61B,130.87,0.90%,7.43B
85,86,LI,Li Auto Inc.,35.47B,36.30,3.42%,7.93B
86,87,IBKR,"Interactive Brokers Group, Inc.",34.88B,83.69,0.75%,3.48B
87,88,XEL,Xcel Energy Inc.,34.66B,62.98,1.30%,15.64B
88,89,CRWD,"CrowdStrike Holdings, Inc.",34.61B,145.96,-0.62%,2.45B
89,90,FAST,Fastenal Company,33.35B,58.41,-0.98%,7.14B
90,91,CTSH,Cognizant Technology Solutions Corporation,33.27B,65.56,0.43%,19.41B
91,92,DLTR,"Dollar Tree, Inc.",32.50B,147.47,2.77%,28.75B
92,93,VRSK,"Verisk Analytics, Inc.",32.22B,222.50,-1.56%,2.37B
93,94,MBLY,Mobileye Global Inc.,32.07B,39.81,3.62%,1.93B
94,95,BKR,Baker Hughes Company,31.99B,31.60,-0.03%,22.04B
