,Stock name,Symbol,Country of origin
0,3D Systems Corporation,DDD,US
1,3M Company,MMM,US
2,500.com,WBAI,China
3,58.com Inc.,WUBA,China
4,8x8 Inc.,EGHT,US
0,A. O. Smith Corporation,AOS,US
1,"A10 Networks, Inc.",ATEN,US
2,AAC Holdings Inc.,AAC,US
3,AAR Corporation,AIR,US
4,Aaron's Inc.,AAN,US
5,ABB LTD.,ABB,Switzerland
6,Abbott Laboratories,ABT,US
7,AbbVie Inc.,ABBV,US
8,Abercrombie & Fitch,ANF,US
9,"Aberdeen Greater China Fund, Inc.",GCH,US
10,"Aberdeen Japan Equity Fund, Inc.",JEQ,US
11,"Aberdeen Singapore Fund, Inc.",SGF,US
12,ABM Industries Incorporated,ABM,US
13,Acadia Realty Trust,AKR,US
14,Accenture plc,ACN,Ireland
15,ACCO Brands Corporation,ACCO,US
16,"Acorn International, Inc.",ATV,China
17,Actuant Corporation,ATU,US
18,Acushnet Holdings Corp.,GOLF,US
19,"Acuity Brands, Inc.",AYI,US
20,Adams Express Company,ADX,US
21,Adecoagro S.A.,AGRO,Argentina
22,Adeptus Health Inc.,ADPT,US
23,Adient Plc,ADNT,Ireland
24,"Advance Auto Parts, Inc.",AAP,US
25,Advanced Disposal Services Inc.,ADSW,US
26,Advanced Drainage Systems Inc.,WMS,US
27,"Advanced Semiconductor Engineering, Inc.",ASX,Taiwan
28,AdvancePierre Food Holdings Inc.,APFH,US
29,AdvanSix Inc.,ASIX,US
30,Advantage Oil & Gas Ltd.,AAV,Canada
31,Advent Claymore Convertible Securities and Income Fund,AVK,US
32,Advent Claymore Convertible Securities and Income Fund II,AGC,US
33,Advent Claymore Enhanced Growth & Income Fund,LCM,US
34,AECOM Technology Corporation,ACM,US
35,Aegean Marine Petroleum Network Inc.,ANW,Greece
36,Aegon N.V.,AEG,Netherlands
37,Aegon N.V.,AEB,Netherlands
38,Aegon N.V.,AED,Netherlands
39,Aegon N.V.,AEH,Netherlands
40,Aegon N.V.,AEK,Netherlands
41,AerCap Holdings N.V.,AER,Ireland
42,"Aerohive Networks, Inc.",HIVE,US
43,Aerojet Rocketdyne Holdings Inc.,AJRD,US
44,The AES Corporation,AES,US
45,AES Trust III,AES.PRC,US
46,Aetna Inc.,AET,US
47,Affiliated Managers Group,AMG,US
48,Affiliated Managers Group,MGR,US
49,AFLAC Incorporated,AFL,US
50,AFLAC Incorporated,AFSD,US
51,"AG Mortgage Investment Trust, Inc.",MITT,US
52,"AG Mortgage Investment Trust, Inc.",MITT.PRA,US
53,"AG Mortgage Investment Trust, Inc.",MITT.PRB,US
54,Agco Corporation,AGCO,US
55,Agilent Technologies Inc.,A,US
56,Agnico Eagle Mines Limited,AEM,Canada
57,Agree Realty Corporation,ADC,US
58,Agrium Inc.,AGU,Canada
59,A.H. Belo Corporation,AHC,US
60,Air Lease Corporation,AL,US
61,"Air Products and Chemicals, Inc.",APD,US
62,Aircastle Limited,AYR,US
63,AK Steel Holding Corp,AKS,US
64,Alabama Power Company,ALP.PRO,US
65,Alamo Group Inc.,ALG,US
66,Alamos Gold Inc.,AGI,US
67,"Alaska Air Group, Inc.",ALK,US
68,Albany International Corp,AIN,US
69,Albemarle Corporation,ALB,US
70,"Alcoa, Inc.",AA,US
71,Alere Inc.,ALR,US
72,Alere Inc.,ALR.PRB,US
73,"Alexander & Baldwin, Inc.",ALEX,US
74,Alexanders Inc.,ALX,US
75,Alexandria Real Estate Equities Inc.,ARE,US
76,Alexandria Real Estate Equities Inc.,ARE.PRD,US
77,Alexandria Real Estate Equities Inc.,ARE.PRE,US
78,Algonquin Power & Utilities Corp.,AQN,Canada
79,Alibaba Group Holding Ltd.,BABA,China
80,Alleghany Corporation,Y,US
81,Allegheny Technologies Incorporated,ATI,US
82,Allegion Public Limited Company,ALLE,Ireland
83,Allergan Inc.,AGN,Ireland
84,Allergan Inc.,AGN.PRA,Ireland
85,"ALLETE, Inc.",ALE,US
86,"Alliance California Municipal Income Fund, Inc.",AKP,US
87,Alliance Data Systems Corporation,ADS,US
88,"Alliance One International, Inc.",AOI,US
89,"AllianceBernstein Global High Income Fund, Inc.",AWF,US
90,AllianceBernstein Holding L.P.,AB,US
91,"AllianceBernstein National Municipal Income Fund, Inc.",AFB,US
92,Alliant Energy Corporation,LNT,US
93,AllianzGI Convertible & Income Fund,NCV,US
94,AllianzGI Convertible & Income Fund II,NCZ,US
95,AllianzGI Equity & Convertible Income Fund,NIE,US
96,"AllianzGI NFJ Dividend, Interest & Premium Strategy Fund",NFJ,US
97,Allied Capital Corporation,AFC,US
98,"Allied World Assurance Company Holdings, AG",AWH,Switzerland
99,"Allison Transmission Holdings, Inc.",ALSN,US
100,Allstate Corporation,ALL,US
101,Allstate Corporation,ALL.PRA,US
102,Allstate Corporation,ALL.PRB,US
103,Allstate Corporation,ALL.PRC,US
104,Allstate Corporation,ALL.PRD,US
105,Allstate Corporation,ALL.PRE,US
106,Allstate Corporation,ALL.PRF,US
107,Ally Financial Inc.,ALLY,US
108,"Alon USA Energy, Inc.",ALJ,US
109,"Alon USA Partners, LP",ALDW,US
110,Alpine Global Dynamic Dividend Fund,AGD,US
111,Alpine Global Premier Properties Fund,AWP,US
112,Alpine Total Dynamic Dividend Fund,AOD,US
113,Altisource Residential Corporation,RESI,US
114,"Altria Group, Inc.",MO,US
115,Aluminum Corporation of China Ltd,ACH,China
116,"Amber Road, Inc.",AMBR,US
117,Ambev S.A.,ABEV,Brazil
118,"AMC Entertainment Holdings, Inc.",AMC,US
119,Amec Foster Wheeler PLC,AMFW,United Kingdom
120,Ameren Corporation,AEE,US
121,"Ameresco, Inc.",AMRC,US
122,"American Assets Trust, Inc.",AAT,US
123,"American Axle & Manufacturing Holdings, Inc.",AXL,US
124,"American Campus Communities, Inc.",ACC,US
125,"American Eagle Outfitters, Inc.",AEO,US
126,American Electric Power Company,AEP,US
127,American Equity Investment Life Holding Company,AEL,US
128,American Express Company,AXP,US
129,American Financial Group Inc.,AFG,US
130,American Financial Group Inc.,AFA,US
131,American Financial Group Inc.,AFW,US
132,American Homes 4 Rent,AMH,US
133,American Homes 4 Rent,AMH.PRA,US
134,American Homes 4 Rent,AMH.PRB,US
135,American Homes 4 Rent,AMH.PRC,US
136,American Homes 4 Rent,AMH.PRD,US
137,American Homes 4 Rent,AMH.PRE,US
138,American International Group Inc,AIG,US
139,American International Group Inc,AIG.WS,US
140,"American Midstream Partners, LP",AMID,US
141,"American Realty Investors, Inc.",ARL,US
142,American Renal Associates Holdings Inc.,ARA,US
143,American States Water Co.,AWR,US
144,American Tower Corporation,AMT,US
145,American Tower Corporation,AMT.PRA,US
146,American Tower Corporation,AMT.PRB,US
147,American Vanguard Corporation,AVD,US
148,"American Water Works Company, Inc.",AWK,US
149,Amerigas Partners lp,APU,US
150,"Ameriprise Financial, Inc.",AMP,US
151,AmerisourceBergen Corporation,ABC,US
152,Ametek Inc.,AME,US
153,Amira Nature Foods Ltd,ANFI,United Arab Emirates
154,"AMN Healthcare Services, Inc.",AMN,US
155,Ampco-Pittsburgh Corporation,AP,US
156,Amphenol Corporation,APH,US
157,Amplify Snack Brands Inc.,BETR,US
158,AMREP Corporation,AXR,US
159,"AmTrust Financial Services, Inc.",AFSI.PRA,US
160,"AmTrust Financial Services, Inc.",AFSI.PRB,US
161,"AmTrust Financial Services, Inc.",AFSI.PRC,US
162,"AmTrust Financial Services, Inc.",AFSI.PRD,US
163,"AmTrust Financial Services, Inc.",AFSI.PRE,US
164,"AmTrust Financial Services, Inc.",AFSI.PRF,US
165,América Móvil S.A.B de C.V.,AMX,Mexico
166,América Móvil S.A.B de C.V.,AMOV,Mexico
167,AngloGold Ashanti Limited,AU,South Africa
